id,original,surface,pronunciation,type,field1,field2,field3,field4,era,birth_year,nobel,gender,country,status,description,image,image_page
23,ロバート・ホフスタッター,ロバート・ホフスタッター,ロバート・ホフスタッター,full,物理,NA,NA,NA,現代,1915,yes,男性,アメリカ合衆国,物故,ロバート・ホフスタッター（Robert Hofstadter、1915年2月5日 ニューヨーク生まれ - 1990年11月17日 スタンフォード没) はアメリカ,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Hofstadter.jpg,https://commons.wikimedia.org/wiki/File:Robert_Hofstadter.jpg
24,ルドルフ・メスバウアー,メスバウアー,メスバウアー,family,物理,NA,NA,NA,現代,1929,yes,男性,ドイツ,物故,ルドルフ・ルートヴィヒ・メスバウアー（Rudolf Ludwig Mößbauer、 1929年1月31日 – 2011年9月14日）は、ドイツの物理学者である,http://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20L.%20Moessbauer%201962.png,https://commons.wikimedia.org/wiki/File:Rudolf_L._Moessbauer_1962.png
24,ルドルフ・メスバウアー,ルドルフ・メスバウアー,ルドルフ・メスバウアー,full,物理,NA,NA,NA,現代,1929,yes,男性,ドイツ,物故,ルドルフ・ルートヴィヒ・メスバウアー（Rudolf Ludwig Mößbauer、 1929年1月31日 – 2011年9月14日）は、ドイツの物理学者である,http://commons.wikimedia.org/wiki/Special:FilePath/Rudolf%20L.%20Moessbauer%201962.png,https://commons.wikimedia.org/wiki/File:Rudolf_L._Moessbauer_1962.png
25,ヨハネス・ハンス・イェンゼン,イェンゼン,イェンゼン,family,物理,NA,NA,NA,現代,1907,yes,男性,ドイツ国/西ドイツ,物故,ヨハネス・ハンス・ダニエル・イェンゼン（Johannes Hans Daniel Jensen、1907年6月25日 - 1973年2月11日）はドイツの物理学,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Hans%20Daniel%20Jensen%20%281907%E2%80%931973%29.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Hans_Daniel_Jensen_%281907%E2%80%931973%29.jpg
25,ヨハネス・ハンス・イェンゼン,ヨハネス・ハンス・イェンゼン,ヨハネス・ハンス・イェンゼン,full,物理,NA,NA,NA,現代,1907,yes,男性,ドイツ国/西ドイツ,物故,ヨハネス・ハンス・ダニエル・イェンゼン（Johannes Hans Daniel Jensen、1907年6月25日 - 1973年2月11日）はドイツの物理学,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Hans%20Daniel%20Jensen%20%281907%E2%80%931973%29.jpg,https://commons.wikimedia.org/wiki/File:Johannes_Hans_Daniel_Jensen_%281907%E2%80%931973%29.jpg
26,チャールズ・タウンズ,タウンズ,タウンズ,family,物理,NA,NA,NA,現代,1915,yes,男性,アメリカ合衆国,物故,チャールズ・ハード・タウンズ（Charles Hard Townes、 1915年7月28日 - 2015年1月27日）は、アメリカ合衆国の物理学者である。,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Townes.jpg,https://commons.wikimedia.org/wiki/File:Charles_Townes.jpg
26,チャールズ・タウンズ,チャールズ・タウンズ,チャールズ・タウンズ,full,物理,NA,NA,NA,現代,1915,yes,男性,アメリカ合衆国,物故,チャールズ・ハード・タウンズ（Charles Hard Townes、 1915年7月28日 - 2015年1月27日）は、アメリカ合衆国の物理学者である。,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Townes.jpg,https://commons.wikimedia.org/wiki/File:Charles_Townes.jpg
27,ニコライ・バソフ,バソフ,バソフ,family,物理,NA,NA,NA,現代,1922,yes,男性,ソビエト連邦/ロシア/ロシア社会主義連邦ソビエト共和国,物故,ニコライ・ゲンナディエヴィチ・バソフ（ロシア語: Николай Геннадиевич Басов、 ラテン文字転写: Nikolai Gennadievic,http://commons.wikimedia.org/wiki/Special:FilePath/Basov.jpg,https://commons.wikimedia.org/wiki/File:Basov.jpg
27,ニコライ・バソフ,ニコライ・バソフ,ニコライ・バソフ,full,物理,NA,NA,NA,現代,1922,yes,男性,ソビエト連邦/ロシア/ロシア社会主義連邦ソビエト共和国,物故,ニコライ・ゲンナディエヴィチ・バソフ（ロシア語: Николай Геннадиевич Басов、 ラテン文字転写: Nikolai Gennadievic,http://commons.wikimedia.org/wiki/Special:FilePath/Basov.jpg,https://commons.wikimedia.org/wiki/File:Basov.jpg
28,アルフレッド・カストレル,カストレル,カストレル,family,物理,NA,NA,NA,現代,1902,yes,男性,フランス,物故,アルフレッド・カストレル（Alfred Kastler、 フランス語発音: [kastlɛʁ]、1902年5月3日 - 1984年1月7日）は、フランスの物理学,http://commons.wikimedia.org/wiki/Special:FilePath/Kastler.jpg,https://commons.wikimedia.org/wiki/File:Kastler.jpg
28,アルフレッド・カストレル,アルフレッド・カストレル,アルフレッド・カストレル,full,物理,NA,NA,NA,現代,1902,yes,男性,フランス,物故,アルフレッド・カストレル（Alfred Kastler、 フランス語発音: [kastlɛʁ]、1902年5月3日 - 1984年1月7日）は、フランスの物理学,http://commons.wikimedia.org/wiki/Special:FilePath/Kastler.jpg,https://commons.wikimedia.org/wiki/File:Kastler.jpg
29,ルイ・アルヴァレ,アルヴァレ,アルヴァレ,family,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://commons.wikimedia.org/wiki/Special:FilePath/LWA_Picture_Final.jpg,https://commons.wikimedia.org/wiki/File:LWA_Picture_Final.jpg
29,ルイ・アルヴァレ,ルイ・アルヴァレ,ルイ・アルヴァレ,full,物理,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://commons.wikimedia.org/wiki/Special:FilePath/LWA_Picture_Final.jpg,https://commons.wikimedia.org/wiki/File:LWA_Picture_Final.jpg
30,ハンス・アルヴェーン,アルヴェーン,アルヴェーン,family,物理,天文学,NA,NA,現代,1908,yes,男性,スウェーデン,物故,ハンネス・アルヴェーン（Hannes Olof Gösta Alfvén スウェーデン語: [alˈveːn]、 1908年5月30日 - 1995年4月2日）,http://commons.wikimedia.org/wiki/Special:FilePath/YoungAlfven.jpg,https://commons.wikimedia.org/wiki/File:YoungAlfven.jpg
30,ハンス・アルヴェーン,ハンス・アルヴェーン,ハンス・アルヴェーン,full,物理,天文学,NA,NA,現代,1908,yes,男性,スウェーデン,物故,ハンネス・アルヴェーン（Hannes Olof Gösta Alfvén スウェーデン語: [alˈveːn]、 1908年5月30日 - 1995年4月2日）,http://commons.wikimedia.org/wiki/Special:FilePath/YoungAlfven.jpg,https://commons.wikimedia.org/wiki/File:YoungAlfven.jpg
31,ルイ・ネール,ネール,ネール,family,物理,NA,NA,NA,現代,1904,yes,男性,フランス,物故,ルイ・ウジェーヌ・フェリックス・ネール（Louis Eugène Félix Néel、 1904年11月22日 – 2000年11月17日）は、フランスの物理,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20N%C3%A9el%201970b.jpg,https://commons.wikimedia.org/wiki/File:Louis_N%C3%A9el_1970b.jpg
31,ルイ・ネール,ルイ・ネール,ルイ・ネール,full,物理,NA,NA,NA,現代,1904,yes,男性,フランス,物故,ルイ・ウジェーヌ・フェリックス・ネール（Louis Eugène Félix Néel、 1904年11月22日 – 2000年11月17日）は、フランスの物理,http://commons.wikimedia.org/wiki/Special:FilePath/Louis%20N%C3%A9el%201970b.jpg,https://commons.wikimedia.org/wiki/File:Louis_N%C3%A9el_1970b.jpg
32,ガーボル・デーネシュ,デーネシュ,デーネシュ,family,物理,NA,NA,NA,近代,1900,yes,男性,イギリス/ハンガリー,物故,ガーボル・デーネシュ CBE、 FRS（Gábor Dénes、1900年 6月5日 - 1979年 2月9日）は、ハンガリー系イギリス人の電気工学者・物理学者,http://commons.wikimedia.org/wiki/Special:FilePath/Dennis%20Gabor%201971.jpg,https://commons.wikimedia.org/wiki/File:Dennis_Gabor_1971.jpg
32,ガーボル・デーネシュ,ガーボル・デーネシュ,ガーボル・デーネシュ,full,物理,NA,NA,NA,近代,1900,yes,男性,イギリス/ハンガリー,物故,ガーボル・デーネシュ CBE、 FRS（Gábor Dénes、1900年 6月5日 - 1979年 2月9日）は、ハンガリー系イギリス人の電気工学者・物理学者,http://commons.wikimedia.org/wiki/Special:FilePath/Dennis%20Gabor%201971.jpg,https://commons.wikimedia.org/wiki/File:Dennis_Gabor_1971.jpg
33,ジョン・ロバート・シュリーファー,シュリーファー,シュリーファー,family,物理,NA,NA,NA,現代,1931,yes,男性,アメリカ合衆国,物故,ジョン・ロバート・シュリーファー（John Robert Schrieffer、1931年5月31日 – 2019年7月27日）は、アメリカ合衆国の物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Robert%20Schrieffer%201972.jpg,https://commons.wikimedia.org/wiki/File:John_Robert_Schrieffer_1972.jpg
33,ジョン・ロバート・シュリーファー,ジョン・ロバート・シュリーファー,ジョン・ロバート・シュリーファー,full,物理,NA,NA,NA,現代,1931,yes,男性,アメリカ合衆国,物故,ジョン・ロバート・シュリーファー（John Robert Schrieffer、1931年5月31日 – 2019年7月27日）は、アメリカ合衆国の物理学者。,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Robert%20Schrieffer%201972.jpg,https://commons.wikimedia.org/wiki/File:John_Robert_Schrieffer_1972.jpg
34,アイヴァー・ジェーバー,ジェーバー,ジェーバー,family,物理,NA,NA,NA,現代,1929,yes,男性,アメリカ合衆国/ノルウェー,物故,アイヴァー・ジェーバー（Ivar Giaever、ノルウェー語表記: Giæver、ノルウェー語発音: [ˈîːvɑr ˈjæːvər]、1929年4月5日 -,http://commons.wikimedia.org/wiki/Special:FilePath/Ivar%20Giaever%201973.jpg,https://commons.wikimedia.org/wiki/File:Ivar_Giaever_1973.jpg
34,アイヴァー・ジェーバー,アイヴァー・ジェーバー,アイヴァー・ジェーバー,full,物理,NA,NA,NA,現代,1929,yes,男性,アメリカ合衆国/ノルウェー,物故,アイヴァー・ジェーバー（Ivar Giaever、ノルウェー語表記: Giæver、ノルウェー語発音: [ˈîːvɑr ˈjæːvər]、1929年4月5日 -,http://commons.wikimedia.org/wiki/Special:FilePath/Ivar%20Giaever%201973.jpg,https://commons.wikimedia.org/wiki/File:Ivar_Giaever_1973.jpg
