id,original,surface,pronunciation
207,旭川四条,旭川四条,あさひかわよじょう
208,朝日通,朝日通,あさひどおり
209,朝日野,朝日野,あさひの
210,旭橋,旭橋,あさひばし
211,旭前,旭前,あさひまえ
212,旭町一丁目,旭町一丁目,あさひまちいっちょうめ
213,旭町三丁目,旭町三丁目,あさひまちさんちょうめ
214,麻生,麻生,あさぶ
215,麻布十番,麻布十番,あざぶじゅうばん
216,朝熊,朝熊,あさま
217,阿左美,阿左美,あざみ
218,あざみ野,あざみ野,あざみの
219,浅海井,浅海井,あざむい
220,浅虫温泉,浅虫温泉,あさむしおんせん
221,朝里,朝里,あさり
222,浅利,浅利,あさり
223,足尾,足尾,あしお
224,味岡,味岡,あじおか
225,阿字ヶ浦,阿字ヶ浦,あじがうら
226,足利,足利,あしかが
227,足利市,足利市,あしかがし
228,芦ヶ久保,芦ヶ久保,あしがくぼ
229,鰺ヶ沢,鰺ヶ沢,あじがさわ
230,海鹿島,海鹿島,あしかじま
231,足ヶ瀬,足ヶ瀬,あしがせ
232,足柄,足柄,あしがら
233,足柄,足柄,あしがら
234,芦川,芦川,あしがわ
235,安治川口,安治川口,あじかわぐち
236,安食,安食,あじき
237,味坂,味坂,あじさか
238,芦沢,芦沢,あしさわ
239,阿知須,阿知須,あじす
240,足滝,足滝,あしだき
241,足立,足立,あしだち
242,阿品,阿品,あじな
243,阿品東,阿品東,あじなひがし
244,芦野公園,芦野公園,あしのこうえん
245,芦ノ牧温泉,芦ノ牧温泉,あしのまきおんせん
246,芦ノ牧温泉南,芦ノ牧温泉南,あしのまきおんせんみなみ
247,芦原,芦原,あしはら
248,芦原町,芦原町,あしはらちょう
249,芦原橋,芦原橋,あしはらばし
250,芦別,芦別,あしべつ
251,味鋺,味鋺,あじま
252,足守,足守,あしもり
253,芦屋,芦屋,あしや
254,芦屋,芦屋,あしや
255,芦屋川,芦屋川,あしやがわ
256,味美,味美,あじよし
257,味美,味美,あじよし
258,網代,網代,あじろ
259,飛鳥,飛鳥,あすか
260,飛鳥山,飛鳥山,あすかやま
261,梓橋,梓橋,あずさばし
262,東田,東田,あずまだ
263,東田坂上,東田坂上,あずまださかうえ
264,安曇追分,安曇追分,あずみおいわけ
265,安曇沓掛,安曇沓掛,あずみくつかけ
266,アスモ前,アスモ前,あすもまえ
267,足羽,足羽,あすわ
268,安栖里,安栖里,あせり
269,阿曽,阿曽,あそ
270,阿蘇,阿蘇,あそ
271,吾桑,吾桑,あそう
272,浅水,浅水,あそうず
273,薊野,薊野,あぞうの
274,阿蘇下田城ふれあい温泉,阿蘇下田城ふれあい温泉,あそしもだじょうふれあいおんせん
275,阿蘇白川,阿蘇白川,あそしらかわ
276,愛宕,愛宕,あたご
277,愛宕,愛宕,あたご
278,愛宕橋,愛宕橋,あたごばし
279,新鹿,新鹿,あたしか
280,安達,安達,あだち
281,足立小台,足立小台,あだちおだい
282,熱海,熱海,あたみ
283,阿田和,阿田和,あたわ
284,厚保,厚保,あつ
285,厚賀,厚賀,あつが
286,厚木,厚木,あつぎ
287,厚岸,厚岸,あっけし
288,朝来,朝来,あっそ
289,熱田,熱田,あつた
290,安土,安土,あづち
291,厚床,厚床,あっとこ
292,厚内,厚内,あつない
293,厚中問屋,厚中問屋,あつなかとんや
294,安比高原,安比高原,あっぴこうげん
295,厚別,厚別,あつべつ
296,吾妻,吾妻,あづま
297,あつみ温泉,あつみ温泉,あつみおんせん
298,左沢,左沢,あてらざわ
299,安登,安登,あと
300,安曇川,安曇川,あどがわ
301,穴川,穴川,あながわ
302,穴川,穴川,あながわ
303,穴内,穴内,あなない
304,穴吹,穴吹,あなぶき
305,穴部,穴部,あなべ
306,穴水,穴水,あなみず
307,穴守稲荷,穴守稲荷,あなもりいなり
308,穴山,穴山,あなやま
309,阿南,阿南,あなん
310,阿仁合,阿仁合,あにあい
311,兄畑,兄畑,あにはた
312,阿仁前田,阿仁前田,あにまえだ
313,阿仁マタギ,阿仁マタギ,あにまたぎ
314,姉ヶ崎,姉ヶ崎,あねがさき
315,姉別,姉別,あねべつ
316,穴太,穴太,あのう
317,穴太,穴太,あのお
318,穴生,穴生,あのお
319,網走,網走,あばしり
320,網引,網引,あびき
321,我孫子,我孫子,あびこ
322,あびこ,あびこ,あびこ
323,我孫子町,我孫子町,あびこちょう
324,我孫子前,我孫子前,あびこまえ
325,我孫子道,我孫子道,あびこみち
326,安平,安平,あびら
327,あぶくま,あぶくま,あぶくま
328,アプトいちしろ,アプトいちしろ,あぷといちしろ
329,油川,油川,あぶらかわ
330,油津,油津,あぶらつ
331,油田,油田,あぶらでん
332,油日,油日,あぶらひ
333,阿夫利神社,阿夫利神社,あふりじんじゃ
334,阿分,阿分,あふん
335,安部,安部,あべ
336,安倍川,安倍川,あべかわ
337,阿倍野,阿倍野,あべの
338,安部山公園,安部山公園,あべやまこうえん
339,阿母崎,阿母崎,あぼざき
340,網干,網干,あぼし
341,海士有木,海士有木,あまありき
342,尼ヶ坂,尼ヶ坂,あまがさか
343,尼崎,尼崎,あまがさき
344,尼崎,尼崎,あまがさき
345,尼崎センタープール前,尼崎センタープール前,あまがさきせんたーぷーるまえ
346,天ヶ瀬,天ヶ瀬,あまがせ
347,尼ヶ辻,尼ヶ辻,あまがつじ
348,甘木,甘木,あまぎ
349,甘木,甘木,あまぎ
350,尼子,尼子,あまご
351,甘地,甘地,あまじ
352,天津,天津,あまつ
353,天橋立,天橋立,あまのはしだて
354,雨晴,雨晴,あまはらし
355,あまや,あまや,あまや
356,天見,天見,あまみ
357,余子,余子,あまりこ
358,餘部,餘部,あまるべ
359,余目,余目,あまるめ
360,網野,網野,あみの
361,安茂里,安茂里,あもり
362,綾織,綾織,あやおり
363,綾川,綾川,あやがわ
364,愛子,愛子,あやし
365,綾瀬,綾瀬,あやせ
366,綾ノ町,綾ノ町,あやのちょう
367,綾部,綾部,あやべ
368,菖蒲池,菖蒲池,あやめいけ
369,あやめ公園,あやめ公園,あやめこうえん
370,綾羅木,綾羅木,あやらぎ
371,鮎貝,鮎貝,あゆかい
372,鮎川,鮎川,あゆかわ
373,新井,新井,あらい
374,荒井,荒井,あらい
375,新井宿,新井宿,あらいじゅく
376,新居町,新居町,あらいまち
377,新井薬師前,新井薬師前,あらいやくしまえ
378,荒尾,荒尾,あらお
379,荒尾,荒尾,あらお
380,荒河かしの木台,荒河かしの木台,あらがかしのきだい
381,荒川一中前,荒川一中前,あらかわいっちゅうまえ
382,荒川沖,荒川沖,あらかわおき
383,荒川区役所前,荒川区役所前,あらかわくやくしょまえ
384,荒川車庫前,荒川車庫前,あらかわしゃこまえ
385,荒川七丁目,荒川七丁目,あらかわななちょうめ
386,荒川二丁目,荒川二丁目,あらかわにちょうめ
387,荒川遊園地前,荒川遊園地前,あらかわゆうえんちまえ
388,新木,新木,あらき
389,荒木,荒木,あらき
390,荒子,荒子,あらこ
391,荒子川公園,荒子川公園,あらこがわこうえん
392,荒島,荒島,あらしま
393,嵐山,嵐山,あらしやま
394,嵐山,嵐山,あらしやま
395,荒瀬,荒瀬,あらせ
396,新野,新野,あらたの
397,荒田八幡,荒田八幡,あらたはちまん
398,新瑞橋,新瑞橋,あらたまばし
399,荒砥,荒砥,あらと
400,荒畑,荒畑,あらはた
401,荒浜,荒浜,あらはま
402,荒町,荒町,あらまち
403,荒本,荒本,あらもと
404,新屋,新屋,あらや
405,新屋,新屋,あらや
406,荒屋新町,荒屋新町,あらやしんまち
407,荒谷前,荒谷前,あらやまえ
408,有明,有明,ありあけ
409,有明,有明,ありあけ
410,有明テニスの森,有明テニスの森,ありあけてにすのもり
411,有井,有井,ありい
412,有井川,有井川,ありいがわ
413,有岡,有岡,ありおか
414,有壁,有壁,ありかべ
415,有佐,有佐,ありさ
416,有栖川,有栖川,ありすがわ
417,有田,有田,ありた
418,有戸,有戸,ありと
419,有畑,有畑,ありはた
420,有馬温泉,有馬温泉,ありまおんせん
421,有間川,有間川,ありまがわ
422,有馬口,有馬口,ありまぐち
423,有松,有松,ありまつ
424,有峰口,有峰口,ありみねぐち
425,在良,在良,ありよし
426,安和,安和,あわ
427,阿波赤石,阿波赤石,あわあかいし
428,安房天津,安房天津,あわあまつ
429,粟井,粟井,あわい
430,阿波池田,阿波池田,あわいけだ
431,阿波大谷,阿波大谷,あわおおたに
432,阿波大宮,阿波大宮,あわおおみや
433,阿波海南,阿波海南,あわかいなん
434,粟ヶ崎,粟ヶ崎,あわがさき
435,安房勝山,安房勝山,あわかつやま
436,阿波加茂,阿波加茂,あわかも
437,安房鴨川,安房鴨川,あわかもがわ
438,阿波川口,阿波川口,あわかわぐち
439,阿波川島,阿波川島,あわかわしま
440,阿波川端,阿波川端,あわかわばた
441,あわくら温泉,あわくら温泉,あわくらおんせん
442,安房小湊,安房小湊,あわこみなと
443,阿波座,阿波座,あわざ
444,淡路,淡路,あわじ
445,淡路町,淡路町,あわじちょう
446,粟島,粟島,あわじま
447,阿波橘,阿波橘,あわたちばな
448,粟津,粟津,あわづ
449,粟津,粟津,あわづ
450,阿波富田,阿波富田,あわとみだ
451,阿波中島,阿波中島,あわなかしま
452,粟野,粟野,あわの
453,阿波半田,阿波半田,あわはんだ
454,阿波福井,阿波福井,あわふくい
455,粟屋,粟屋,あわや
456,阿波山川,阿波山川,あわやまかわ
457,芦原温泉,芦原温泉,あわらおんせん
458,あわら湯のまち,あわら湯のまち,あわらゆのまち
459,安城,安城,あんじょう
460,安針塚,安針塚,あんじんづか
461,安善,安善,あんぜん
462,安足間,安足間,あんたろま
463,安堂,安堂,あんどう
464,安中,安中,あんなか
465,安中榛名,安中榛名,あんなかはるな
466,安立町,安立町,あんりゅうまち
467,飯井,飯井,いい
468,飯岡,飯岡,いいおか
469,飯倉,飯倉,いいぐら
470,飯坂温泉,飯坂温泉,いいざかおんせん
471,飯島,飯島,いいじま
472,飯田,飯田,いいだ
473,飯田岡,飯田岡,いいだおか
474,飯田橋,飯田橋,いいだばし
475,飯塚,飯塚,いいづか
476,飯詰,飯詰,いいづめ
477,飯沼,飯沼,いいぬま
478,飯浦,飯浦,いいのうら
479,飯羽間,飯羽間,いいばま
480,飯森,飯森,いいもり
481,飯山,飯山,いいやま
482,家城,家城,いえき
483,家地川,家地川,いえぢがわ
484,家中,家中,いえなか
485,家久,家久,いえひさ
486,家山,家山,いえやま
487,医王寺前,医王寺前,いおうじまえ
488,伊尾木,伊尾木,いおき
489,井荻,井荻,いおぎ
490,伊賀,伊賀,いが
491,伊賀上野,伊賀上野,いがうえの
492,伊香牛,伊香牛,いかうし
493,伊賀神戸,伊賀神戸,いがかんべ
494,伊賀上津,伊賀上津,いがこうづ
495,五十崎,五十崎,いかざき
496,五十島,五十島,いがしま
497,伊上,伊上,いがみ
498,伊賀屋,伊賀屋,いがや
499,碇ヶ関,碇ヶ関,いかりがせき
500,井川,井川,いかわ
501,井川さくら,井川さくら,いかわさくら
502,伊賀和志,伊賀和志,いかわし
503,伊川谷,伊川谷,いかわだに
504,一貴山,一貴山,いきさん
505,軍畑,軍畑,いくさばた
506,生地,生地,いくじ
507,生田,生田,いくた
508,生田原,生田原,いくたはら
509,幾寅,幾寅,いくとら
510,生野,生野,いくの
511,生野,生野,いくの
512,生野屋,生野屋,いくのや
513,居組,居組,いぐみ
514,井倉,井倉,いくら
515,池上,池上,いけがみ
516,池下,池下,いけした
517,池尻,池尻,いけじり
518,池尻大橋,池尻大橋,いけじりおおはし
519,池田,池田,いけだ
520,池田,池田,いけだ
521,池田,池田,いけだ
522,池田園,池田園,いけだえん
523,池月,池月,いけづき
524,池野,池野,いけの
525,池ノ上,池ノ上,いけのうえ
526,池の浦,池の浦,いけのうら
527,池谷,池谷,いけのたに
528,池戸,池戸,いけのべ
529,池場,池場,いけば
530,池袋,池袋,いけぶくろ
531,池部,池部,いけべ
532,いこいの広場,いこいの広場,いこいのひろば
533,いこいの村,いこいの村,いこいのむら
534,生駒,生駒,いこま
535,生駒山上,生駒山上,いこまさんじょう
536,石原,石原,いさ
537,井細田,井細田,いさいだ
538,諫早,諫早,いさはや
539,諫早東高校前,諫早東高校前,いさはやひがしこうこうまえ
540,伊佐領,伊佐領,いさりょう
541,石和温泉,石和温泉,いさわおんせん
542,石井,石井,いしい
543,石井,石井,いしい
544,石打,石打,いしうち
545,石打ダム,石打ダム,いしうちだむ
546,石岡,石岡,いしおか
547,石蟹,石蟹,いしが
548,石垣,石垣,いしかき
549,石上,石上,いしがみ
550,石神前,石神前,いしがみまえ
551,石狩金沢,石狩金沢,いしかりかなざわ
552,石狩月形,石狩月形,いしかりつきがた
553,石狩当別,石狩当別,いしかりとうべつ
554,石狩沼田,石狩沼田,いしかりぬまた
555,石狩太美,石狩太美,いしかりふとみ
556,石川,石川,いしかわ
557,石川,石川,いしかわ
558,石川台,石川台,いしかわだい
559,石川町,石川町,いしかわちょう
560,石川プール前,石川プール前,いしかわぷーるまえ
561,石切,石切,いしきり
562,石倉,石倉,いしくら
563,石下,石下,いしげ
564,石越,石越,いしこし
565,石才,石才,いしざい
566,石地,石地,いしじ
567,石田,石田,いしだ
568,石田,石田,いしだ
569,石津,石津,いしづ
570,石津,石津,いしづ
571,石津川,石津川,いしづがわ
572,石鎚山,石鎚山,いしづちやま
573,石手川公園,石手川公園,いしてがわこうえん
574,石鳥谷,石鳥谷,いしどりや
575,石巻,石巻,いしのまき
576,石場,石場,いしば
577,石橋,石橋,いしばし
578,石橋,石橋,いしばし
579,石橋,石橋,いしばし
580,石浜,石浜,いしはま
581,石原町,石原町,いしはらまち
582,石部,石部,いしべ
583,石仏,石仏,いしぼとけ
584,石谷,石谷,いしや
585,石屋川,石屋川,いしやがわ
586,石山,石山,いしやま
587,石山寺,石山寺,いしやまでら
588,石山通,石山通,いしやまどおり
589,伊集院,伊集院,いじゅういん
590,井尻,井尻,いじり
591,石原,石原,いしわら
592,一身田,一身田,いしんでん
593,伊豆熱川,伊豆熱川,いずあたがわ
594,伊豆稲取,伊豆稲取,いずいなとり
595,いずえ,いずえ,いずえ
596,伊豆大川,伊豆大川,いずおおかわ
597,伊豆急下田,伊豆急下田,いずきゅうしもだ
598,伊豆高原,伊豆高原,いずこうげん
599,五十鈴ヶ丘,五十鈴ヶ丘,いすずがおか
600,五十鈴川,五十鈴川,いすずがわ
601,伊豆多賀,伊豆多賀,いずたが
602,伊豆長岡,伊豆長岡,いずながおか
603,伊豆仁田,伊豆仁田,いずにった
604,伊豆北川,伊豆北川,いずほっかわ
605,泉,泉,いずみ
606,泉,泉,いずみ
607,出水,出水,いずみ
608,泉大津,泉大津,いずみおおつ
609,和泉大宮,和泉大宮,いずみおおみや
610,泉ヶ丘,泉ヶ丘,いずみがおか
611,泉郷,泉郷,いずみごう
612,泉崎,泉崎,いずみざき
613,泉佐野,泉佐野,いずみさの
614,泉沢,泉沢,いずみさわ
615,和泉砂川,和泉砂川,いずみすながわ
616,泉田,泉田,いずみた
617,泉体育館,泉体育館,いずみたいいくかん
618,和泉多摩川,和泉多摩川,いずみたまがわ
619,泉中央,泉中央,いずみちゅうおう
620,いずみ中央,いずみ中央,いずみちゅうおう
621,和泉中央,和泉中央,いずみちゅうおう
622,和泉鳥取,和泉鳥取,いずみとっとり
623,いずみ野,いずみ野,いずみの
624,和泉橋本,和泉橋本,いずみはしもと
625,和泉府中,和泉府中,いずみふちゅう
626,出目,出目,いずめ
627,出雲科学館パークタウン前,出雲科学館パークタウン前,いずもかがくかんぱーくたうんまえ
628,出雲坂根,出雲坂根,いずもさかね
629,出雲崎,出雲崎,いずもざき
630,出雲市,出雲市,いずもし
631,出雲神西,出雲神西,いずもじんざい
632,出雲大社前,出雲大社前,いずもたいしゃまえ
633,出雲大東,出雲大東,いずもだいとう
634,出雲三成,出雲三成,いずもみなり
635,出雲八代,出雲八代,いずもやしろ
636,出雲横田,出雲横田,いずもよこた
637,石動,石動,いするぎ
638,出馬,出馬,いずんま
639,伊勢朝日,伊勢朝日,いせあさひ
640,伊勢石橋,伊勢石橋,いせいしばし
641,伊勢上野,伊勢上野,いせうえの
642,伊勢大井,伊勢大井,いせおおい
643,伊勢奥津,伊勢奥津,いせおきつ
644,伊勢柏崎,伊勢柏崎,いせかしわざき
645,伊勢鎌倉,伊勢鎌倉,いせかまくら
646,伊勢川口,伊勢川口,いせかわぐち
647,伊勢川島,伊勢川島,いせかわしま
648,井関,井関,いせぎ
649,伊勢崎,伊勢崎,いせさき
650,伊勢佐木長者町,伊勢佐木長者町,いせざきちょうじゃまち
651,伊勢市,伊勢市,いせし
652,伊勢田,伊勢田,いせだ
653,伊勢竹原,伊勢竹原,いせたけはら
654,伊勢中川,伊勢中川,いせなかがわ
655,伊勢中原,伊勢中原,いせなかはら
656,伊勢八太,伊勢八太,いせはた
657,伊勢治田,伊勢治田,いせはった
658,伊勢原,伊勢原,いせはら
659,伊勢松本,伊勢松本,いせまつもと
660,伊勢八知,伊勢八知,いせやち
661,伊勢若松,伊勢若松,いせわかまつ
662,五十市,五十市,いそいち
663,石生,石生,いそう
664,磯子,磯子,いそご
665,磯崎,磯崎,いそざき
666,五十猛,五十猛,いそたけ
667,磯ノ浦,磯ノ浦,いそのうら
668,磯原,磯原,いそはら
669,磯分内,磯分内,いそぶんない
670,磯部,磯部,いそべ
671,磯部,磯部,いそべ
672,磯山,磯山,いそやま
673,板荷,板荷,いたが
674,井高野,井高野,いたかの
675,井田川,井田川,いだがわ
676,伊太祈曽,伊太祈曽,いだきそ
677,板倉東洋大前,板倉東洋大前,いたくらとうようだいまえ
678,潮来,潮来,いたこ
679,板野,板野,いたの
680,板橋,板橋,いたばし
681,板橋区役所前,板橋区役所前,いたばしくやくしょまえ
682,板橋本町,板橋本町,いたばしほんちょう
683,飯給,飯給,いたぶ
684,伊丹,伊丹,いたみ
685,伊丹,伊丹,いたみ
686,猪田道,猪田道,いだみち
687,板持,板持,いたもち
688,板谷,板谷,いたや
689,板宿,板宿,いたやど
690,板柳,板柳,いたやなぎ
691,市尾,市尾,いちお
692,市岡,市岡,いちおか
693,市が尾,市が尾,いちがお
694,市ヶ谷,市ヶ谷,いちがや
695,市川,市川,いちかわ
696,市川大野,市川大野,いちかわおおの
697,市川塩浜,市川塩浜,いちかわしおはま
698,市川大門,市川大門,いちかわだいもん
699,市川本町,市川本町,いちかわほんまち
700,市川真間,市川真間,いちかわまま
701,市来,市来,いちき
702,一志,一志,いちし
703,市島,市島,いちじま
704,一乗寺,一乗寺,いちじょうじ
705,一乗谷,一乗谷,いちじょうだに
706,一条橋,一条橋,いちじょうばし
707,市城,市城,いちしろ
708,市田,市田,いちだ
709,市棚,市棚,いちたな
710,市坪,市坪,いちつぼ
711,市波,市波,いちなみ
712,市布,市布,いちぬの
713,一之江,一之江,いちのえ
714,市ノ川,市ノ川,いちのかわ
715,市ノ瀬,市ノ瀬,いちのせ
716,一ノ関,一ノ関,いちのせき
717,一の鳥居,一の鳥居,いちのとりい
718,一戸,一戸,いちのへ
719,市辺,市辺,いちのべ
720,一宮,一宮,いちのみや
721,櫟本,櫟本,いちのもと
722,一の渡,一の渡,いちのわたり
723,一ノ割,一ノ割,いちのわり
724,市場,市場,いちば
725,市場,市場,いちば
726,市場,市場,いちば
727,一畑口,一畑口,いちばたぐち
728,市塙,市塙,いちはな
729,市原,市原,いちはら
730,一分,一分,いちぶ
731,一武,一武,いちぶ
732,市振,市振,いちぶり
733,市部,市部,いちべ
734,五日市,五日市,いつかいち
735,五日町,五日町,いつかまち
736,一社,一社,いっしゃ
737,一勝地,一勝地,いっしょうち
738,五橋,五橋,いつつばし
739,一本松,一本松,いっぽんまつ
740,一本松,一本松,いっぽんまつ
741,いづろ通,いづろ通,いづろどおり
742,井出,井出,いで
743,出光美術館,出光美術館,いでみつびじゅつかん
744,井戸,井戸,いど
745,糸井,糸井,いとい
746,糸魚川,糸魚川,いといがわ
747,糸魚沢,糸魚沢,いといざわ
748,伊東,伊東,いとう
749,井土ヶ谷,井土ヶ谷,いどがや
750,糸崎,糸崎,いとざき
751,愛し野,愛し野,いとしの
752,糸田,糸田,いとだ
