id,original,surface,pronunciation,type,org,debut_year,status
58,あおい,あおい,アオイ,full,NA,NA,current
59,あきとんとん,あきとんとん,アキトントン,full,NA,NA,current
60,あきぴで,あきぴで,アキピデ,full,NA,NA,current
61,あさぎーにょ,あさぎーにょ,アサギーニョ,full,NA,NA,current
62,あべみかこ,あべみかこ,アベミカコ,full,NA,2012,former
63,あむぎり,あむぎり,アムギリ,full,NA,NA,current
64,あめみやたいよう,あめみやたいよう,アメミヤタイヨウ,full,NA,NA,current
65,あやなん,あやなん,アヤナン,full,NA,NA,current
66,あるごめとりい,あるごめとりい,アルゴメトリイ,full,NA,NA,current
67,あわつまい,あわつまい,アワツマイ,full,NA,NA,current
68,いけちゃん,いけちゃん,イケチャン,full,NA,NA,current
69,いっせい,いっせい,イッセイ,full,NA,NA,current
70,いよたなるみ,いよたなるみ,イヨタナルミ,full,ボンボンTV,NA,current
71,うごくちゃん,うごくちゃん,ウゴクチャン,full,NA,NA,current
72,おさき,おさき,オサキ,full,NA,NA,current
73,おのだ,おのだ,オノダ,full,NA,NA,current
74,おらふくん,おらふくん,オラフクン,full,ドズル社,NA,current
75,おんりー,おんりー,オンリー,full,ドズル社,NA,current
76,かこちん,かこちん,カコチン,full,NA,NA,current
77,かざり,かざり,カザリ,full,NA,NA,current
78,かす,かす,カス,full,NA,NA,current
79,かずのこ,かずのこ,カズノコ,full,NA,NA,current
80,かずのすけ,かずのすけ,カズノスケ,full,NA,NA,current
81,かっつー,かっつー,カッツー,full,NA,NA,current
82,かねこあや,かねこあや,カネコアヤ,full,NA,NA,current
83,かほなん,かほなん,カホナン,full,NA,NA,current
84,きぬ,きぬ,キヌ,full,NA,NA,current
85,きばるん,きばるん,キバルン,full,NA,NA,current
86,きょんくま,きょんくま,キョンクマ,full,NA,NA,current
87,くりえみ,くりえみ,クリエミ,full,NA,NA,current
88,ぐんぴぃ,ぐんぴぃ,グンピィ,full,春とヒコーキ,NA,current
89,けいちゃん,けいちゃん,ケイチャン,full,NA,NA,current
90,けみお,けみお,ケミオ,full,NA,2014,current
91,けんた食堂,けんた食堂,ケンタショクドウ,full,NA,NA,current
92,こうちゃん,こうちゃん,コウチャン,full,NA,2017,current
93,こたにな々,こたにな々,コタニナナ,full,NA,NA,current
94,こはならむ,こはならむ,コハナラム,full,NA,NA,current
95,こぴ,こぴ,コピ,full,NA,NA,current
96,さいとうなおき,さいとうなおき,サイトウナオキ,full,NA,NA,current
97,さがらごうち,さがらごうち,サガラゴウチ,full,NA,NA,current
98,さくまみお,さくまみお,サクマミオ,full,NA,NA,current
99,さくら,さくら,サクラ,full,NA,NA,current
100,しにがみ,しにがみ,シニガミ,full,日常組,NA,current
101,しののめ,しののめ,シノノメ,full,NA,2020,current
102,しばゆー,しばゆー,シバユー,full,東海オンエア,NA,current
103,しんたろー,しんたろー,シンタロー,full,NA,NA,current
104,しーさー,しーさー,シーサー,full,NA,NA,current
105,矢倉高士,矢倉,ヤグラ,family,NA,NA,current
105,矢倉高士,高士,タカシ,given,NA,NA,current
105,矢倉高士,矢倉高士,ヤグラタカシ,full,NA,NA,current
106,じゅんな,じゅんな,ジュンナ,full,NA,NA,current
107,じゅんや,じゅんや,ジュンヤ,full,NA,NA,current
108,せきぐちあいみ,せきぐちあいみ,セキグチアイミ,full,NA,NA,current
109,たかまつなな,たかまつなな,タカマツナナ,full,日本放送協会/笑下村塾,NA,current
110,たむらかえ,たむらかえ,タムラカエ,full,NA,NA,current
111,ちゃんねる鰐,ちゃんねる鰐,チャンネルワニ,full,NA,NA,current
112,ちゃんよた,ちゃんよた,チャンヨタ,full,NA,NA,current
113,てつや,てつや,テツヤ,full,東海オンエア,NA,current
114,てぬキッチン,てぬキッチン,テヌキッチン,full,NA,NA,current
115,とうあ,とうあ,トウア,full,NA,NA,current
116,とくみくす,とくみくす,トクミクス,full,NA,NA,current
117,としみつ,としみつ,トシミツ,full,東海オンエア,NA,current
118,とっくん,とっくん,トックン,full,NA,NA,current
119,とみい,とみい,トミイ,full,NA,NA,current
120,ともやん,ともやん,トモヤン,full,NA,NA,current
121,なえなの,なえなの,ナエナノ,full,NA,NA,current
122,なつめさんち,なつめさんち,ナツメサンチ,full,NA,NA,current
123,ねお,ねお,ネオ,full,NA,NA,current
124,はじめしゃちょー,はじめしゃちょー,ハジメシャチョー,full,UUUM,NA,current
125,はじめまして松尾です,はじめまして松尾です,ハジメマシテマツオデス,full,NA,NA,current
126,はなおでんがん,はなおでんがん,ハナオデンガン,full,NA,NA,current
127,ひまひま,ひまひま,ヒマヒマ,full,NA,NA,current
128,ひろはす,ひろはす,ヒロハス,full,NA,NA,current
129,びわ湖くん,びわ湖くん,ビワコクン,full,NA,NA,current
130,ぴっちょりーな,ぴっちょりーな,ピッチョリーナ,full,NA,NA,current
131,ぴらの,ぴらの,ピラノ,full,NA,NA,current
132,ふくらP,ふくらP,フクラピー,full,QuizKnock/ワタナベエンターテインメント,NA,current
133,ふくれな,ふくれな,フクレナ,full,NA,NA,current
134,ぷりん将軍,ぷりん将軍,プリンショウグン,full,NA,NA,current
135,ぷろたん,ぷろたん,プロタン,full,NA,NA,current
136,ぺいんと,ぺいんと,ペイント,full,日常組,NA,current
137,ほーみーず,ほーみーず,ホーミーズ,full,NA,NA,current
138,ぼんじゅうる,ぼんじゅうる,ボンジュウル,full,ドズル社,NA,current
139,まあたそ,まあたそ,マアタソ,full,NA,NA,current
140,まりてん,まりてん,マリテン,full,NA,NA,current
141,みか,みか,ミカ,full,NA,NA,current
142,みとゆな,みとゆな,ミトユナ,full,NA,NA,current
143,みの,みの,ミノ,full,UUUM/ミノタウロス,NA,current
144,みゃこ,みゃこ,ミャコ,full,NA,NA,current
145,みやゆう,みやゆう,ミヤユウ,full,NA,NA,current
146,むいむい,むいむい,ムイムイ,full,NA,NA,current
147,めいちゅん,めいちゅん,メイチュン,full,NA,NA,current
148,もこう,もこう,モコウ,full,NA,NA,current
149,やがみ,やがみ,ヤガミ,full,NA,NA,current
150,やねすけ,やねすけ,ヤネスケ,full,バンカラジオ,NA,current
151,やまさきりゅう,やまさきりゅう,ヤマサキリュウ,full,NA,NA,current
152,ゆうた,ゆうた,ユウタ,full,コムドット,NA,current
153,ゆうちゃみ,ゆうちゃみ,ユウチャミ,full,NA,NA,current
154,ゆきりぬ,ゆきりぬ,ユキリヌ,full,NA,NA,current
155,ゆたぼん,ゆたぼん,ユタボン,full,NA,NA,current
156,ゆめまる,ゆめまる,ユメマル,full,東海オンエア,NA,current
157,ゆりにゃ,ゆりにゃ,ユリニャ,full,NA,NA,current
158,ゆりやんレトリィバァ,ゆりやんレトリィバァ,ユリヤンレトリィバァ,full,吉本坂46,NA,current
159,ゆん,ゆん,ユン,full,ヴァンゆんチャンネル,NA,current
160,よよか,よよか,ヨヨカ,full,NA,2018,current
161,よよよちゃん,よよよちゃん,ヨヨヨチャン,full,NA,NA,current
162,らっだぁ,らっだぁ,ラッダァ,full,NA,2010,current
163,らりるRIE,らりるRIE,ラリルリエ,full,NA,NA,current
164,らんまるぽむぽむタイプα,らんまるぽむぽむタイプα,ランマルポムポムタイプアルファ,full,NA,NA,current
165,りみー,りみー,リミー,full,NA,NA,current
166,りょう,りょう,リョウ,full,東海オンエア,NA,current
167,りりか,りりか,リリカ,full,NA,NA,current
168,りりり,りりり,リリリ,full,NA,NA,current
169,るるたん,るるたん,ルルタン,full,NA,NA,current
170,れいしー,れいしー,レイシー,full,NA,NA,current
171,れじぇくん,れじぇくん,レジェクン,full,NA,NA,current
172,ろこ,ろこ,ロコ,full,ナト☆カン,NA,current
173,わいわい,わいわい,ワイワイ,full,Crazy Raccoon,2009,current
174,わたげ,わたげ,ワタゲ,full,NA,NA,current
175,アイスポセイドン,アイスポセイドン,アイスポセイドン,full,NA,NA,current
176,アイバー,アイバー,アイバー,full,NA,NA,current
177,アイ・ショー・スピード,スピード,スピード,family,NA,2016,current
177,アイ・ショー・スピード,アイ,アイ,given,NA,2016,current
177,アイ・ショー・スピード,アイ・ショー・スピード,アイ・ショー・スピード,full,NA,2016,current
178,アグスティン・クレービー,クレービー,クレービー,family,NA,2005,current
178,アグスティン・クレービー,アグスティン,アグスティン,given,NA,2005,current
178,アグスティン・クレービー,アグスティン・クレービー,アグスティン・クレービー,full,NA,2005,current
179,アデレード・ケイン,ケイン,ケイン,family,NA,2006,current
179,アデレード・ケイン,アデレード,アデレード,given,NA,2006,current
179,アデレード・ケイン,アデレード・ケイン,アデレード・ケイン,full,NA,2006,current
180,アニメンズ,アニメンズ,アニメンズ,full,NA,NA,current
181,アネソンギブ,アネソンギブ,アネソンギブ,full,NA,NA,current
182,アフシャン・アザド,アザド,アザド,family,NA,2005,current
182,アフシャン・アザド,アフシャン,アフシャン,given,NA,2005,current
182,アフシャン・アザド,アフシャン・アザド,アフシャン・アザド,full,NA,2005,current
183,アライ・ロー,ロー,ロー,family,NA,NA,current
183,アライ・ロー,アライ,アライ,given,NA,NA,current
183,アライ・ロー,アライ・ロー,アライ・ロー,full,NA,NA,current
184,アラン・ウォーカー,ウォーカー,ウォーカー,family,NA,2012,current
184,アラン・ウォーカー,アラン,アラン,given,NA,2012,current
184,アラン・ウォーカー,アラン・ウォーカー,アラン・ウォーカー,full,NA,2012,current
185,アラン・ベッカー,ベッカー,ベッカー,family,NA,NA,current
185,アラン・ベッカー,アラン,アラン,given,NA,NA,current
185,アラン・ベッカー,アラン・ベッカー,アラン・ベッカー,full,NA,NA,current
186,アレクサンダー・ラエフスキー,ラエフスキー,ラエフスキー,family,モスクワ大学心理学部/東北大学,NA,current
186,アレクサンダー・ラエフスキー,アレクサンダー,アレクサンダー,given,モスクワ大学心理学部/東北大学,NA,current
186,アレクサンダー・ラエフスキー,アレクサンダー・ラエフスキー,アレクサンダー・ラエフスキー,full,モスクワ大学心理学部/東北大学,NA,current
187,アレクシス・フォウクス,フォウクス,フォウクス,family,NA,2010,current
187,アレクシス・フォウクス,アレクシス,アレクシス,given,NA,2010,current
187,アレクシス・フォウクス,アレクシス・フォウクス,アレクシス・フォウクス,full,NA,2010,current
188,アレックス・アイオノ,アイオノ,アイオノ,family,NA,2011,current
188,アレックス・アイオノ,アレックス,アレックス,given,NA,2011,current
188,アレックス・アイオノ,アレックス・アイオノ,アレックス・アイオノ,full,NA,2011,current
189,アレックス・ウォーレン,ウォーレン,ウォーレン,family,NA,NA,current
189,アレックス・ウォーレン,アレックス,アレックス,given,NA,NA,current
189,アレックス・ウォーレン,アレックス・ウォーレン,アレックス・ウォーレン,full,NA,NA,current
190,アレックス・グート,グート,グート,family,NA,2004,current
190,アレックス・グート,アレックス,アレックス,given,NA,2004,current
190,アレックス・グート,アレックス・グート,アレックス・グート,full,NA,2004,current
191,アレックス・ラミレス,ラミレス,ラミレス,family,NA,NA,current
191,アレックス・ラミレス,アレックス,アレックス,given,NA,NA,current
191,アレックス・ラミレス,アレックス・ラミレス,アレックス・ラミレス,full,NA,NA,current
192,アレホ・イゴア,イゴア,イゴア,family,NA,NA,current
192,アレホ・イゴア,アレホ,アレホ,given,NA,NA,current
192,アレホ・イゴア,アレホ・イゴア,アレホ・イゴア,full,NA,NA,current
193,アレン,アレン,アレン,full,アヴィラ,NA,current
194,アンディ・マッキー,マッキー,マッキー,family,NA,2001,current
194,アンディ・マッキー,アンディ,アンディ,given,NA,2001,current
194,アンディ・マッキー,アンディ・マッキー,アンディ・マッキー,full,NA,2001,current
195,アンバー・リー・エッティンガー,エッティンガー,エッティンガー,family,NA,2003,current
195,アンバー・リー・エッティンガー,アンバー,アンバー,given,NA,2003,current
195,アンバー・リー・エッティンガー,アンバー・リー・エッティンガー,アンバー・リー・エッティンガー,full,NA,2003,current
196,イム・ジョンヒョン,ジョンヒョン,ジョンヒョン,family,NA,2004,current
196,イム・ジョンヒョン,イム,イム,given,NA,2004,current
196,イム・ジョンヒョン,イム・ジョンヒョン,イム・ジョンヒョン,full,NA,2004,current
197,イングリッド・ニルセン,ニルセン,ニルセン,family,NA,NA,current
197,イングリッド・ニルセン,イングリッド,イングリッド,given,NA,NA,current
197,イングリッド・ニルセン,イングリッド・ニルセン,イングリッド・ニルセン,full,NA,NA,current
198,イ・グン,グン,グン,family,NA,NA,current
198,イ・グン,イ,イ,given,NA,NA,current
198,イ・グン,イ・グン,イ・グン,full,NA,NA,current
199,イ・スヒョン,スヒョン,スヒョン,family,楽童ミュージシャン,2014,current
199,イ・スヒョン,イ,イ,given,楽童ミュージシャン,2014,current
199,イ・スヒョン,イ・スヒョン,イ・スヒョン,full,楽童ミュージシャン,2014,current
200,イ・ドンウク,ドンウク,ドンウク,family,NA,1999,current
200,イ・ドンウク,イ,イ,given,NA,1999,current
200,イ・ドンウク,イ・ドンウク,イ・ドンウク,full,NA,1999,current
201,ウィリアム・スレッド,スレッド,スレッド,family,NA,2006,current
201,ウィリアム・スレッド,ウィリアム,ウィリアム,given,NA,2006,current
201,ウィリアム・スレッド,ウィリアム・スレッド,ウィリアム・スレッド,full,NA,2006,current
202,エア,エア,エア,full,NA,NA,current
203,エグゼビア・ウッズ,ウッズ,ウッズ,family,NA,2005,former
203,エグゼビア・ウッズ,エグゼビア,エグゼビア,given,NA,2005,former
203,エグゼビア・ウッズ,エグゼビア・ウッズ,エグゼビア・ウッズ,full,NA,2005,former
204,エスティ・ケサダ,ケサダ,ケサダ,family,NA,2015,current
204,エスティ・ケサダ,エスティ,エスティ,given,NA,2015,current
204,エスティ・ケサダ,エスティ・ケサダ,エスティ・ケサダ,full,NA,2015,current
205,エスミー・デンターズ,デンターズ,デンターズ,family,NA,2006,current
205,エスミー・デンターズ,エスミー,エスミー,given,NA,2006,current
205,エスミー・デンターズ,エスミー・デンターズ,エスミー・デンターズ,full,NA,2006,current
206,エックスキューシー,エックスキューシー,エックスキューシー,full,NA,NA,current
207,エド,エド,エド,full,NA,NA,current
208,エフ,エフ,エフ,full,NA,NA,current
209,エフゲニ・サヴィン,サヴィン,サヴィン,family,NA,2000,current
209,エフゲニ・サヴィン,エフゲニ,エフゲニ,given,NA,2000,current
209,エフゲニ・サヴィン,エフゲニ・サヴィン,エフゲニ・サヴィン,full,NA,2000,current
210,エラ・フレイヤ,フレイヤ,フレイヤ,family,NA,NA,current
210,エラ・フレイヤ,エラ,エラ,given,NA,NA,current
210,エラ・フレイヤ,エラ・フレイヤ,エラ・フレイヤ,full,NA,NA,current
211,エリカ・リチャド,リチャド,リチャド,family,NA,NA,current
211,エリカ・リチャド,エリカ,エリカ,given,NA,NA,current
211,エリカ・リチャド,エリカ・リチャド,エリカ・リチャド,full,NA,NA,current
212,エリック・ブッカー,ブッカー,ブッカー,family,NA,NA,current
212,エリック・ブッカー,エリック,エリック,given,NA,NA,current
212,エリック・ブッカー,エリック・ブッカー,エリック・ブッカー,full,NA,NA,current
213,エリック・モングレイン,モングレイン,モングレイン,family,NA,2001,current
213,エリック・モングレイン,エリック,エリック,given,NA,2001,current
213,エリック・モングレイン,エリック・モングレイン,エリック・モングレイン,full,NA,2001,current
214,エンツォ・クノル,クノル,クノル,family,NA,NA,current
214,エンツォ・クノル,エンツォ,エンツォ,given,NA,NA,current
214,エンツォ・クノル,エンツォ・クノル,エンツォ・クノル,full,NA,NA,current
215,オガトレ,オガトレ,オガトレ,full,NA,NA,current
216,オサミンティヌス3世,オサミンティヌス3世,オサミンティヌスサンセイ,full,NA,NA,current
217,オムライス兄さん,オムライス兄さん,オムライスニイサン,full,NA,NA,current
218,オラ・ソイ・ヘルマン,ヘルマン,ヘルマン,family,メイク・ア・ウィッシュ,2006,current
218,オラ・ソイ・ヘルマン,オラ,オラ,given,メイク・ア・ウィッシュ,2006,current
218,オラ・ソイ・ヘルマン,オラ・ソイ・ヘルマン,オラ・ソイ・ヘルマン,full,メイク・ア・ウィッシュ,2006,current
219,オールディ・イングリッシュ,イングリッシュ,イングリッシュ,family,NA,NA,current
219,オールディ・イングリッシュ,オールディ,オールディ,given,NA,NA,current
219,オールディ・イングリッシュ,オールディ・イングリッシュ,オールディ・イングリッシュ,full,NA,NA,current
220,カイ・トランプ,トランプ,トランプ,family,NA,NA,current
220,カイ・トランプ,カイ,カイ,given,NA,NA,current
220,カイ・トランプ,カイ・トランプ,カイ・トランプ,full,NA,NA,current
221,カズ,カズ,カズ,full,UUUM,NA,current
222,カナウット・トライピパタナポン,トライピパタナポン,トライピパタナポン,family,NA,2015,current
222,カナウット・トライピパタナポン,カナウット,カナウット,given,NA,2015,current
222,カナウット・トライピパタナポン,カナウット・トライピパタナポン,カナウット・トライピパタナポン,full,NA,2015,current
223,カネマン,カネマン,カネマン,full,NA,NA,current
224,カノックスター,カノックスター,カノックスター,full,NA,2018,current
225,カブキン,カブキン,カブキン,full,NA,NA,current
226,カマたく,カマたく,カマタク,full,NA,NA,current
227,カルマ,カルマ,カルマ,full,NA,NA,current
228,カロリーナ・プロツェンコ,プロツェンコ,プロツェンコ,family,NA,2017,current
228,カロリーナ・プロツェンコ,カロリーナ,カロリーナ,given,NA,2017,current
228,カロリーナ・プロツェンコ,カロリーナ・プロツェンコ,カロリーナ・プロツェンコ,full,NA,2017,current
229,カール・ジェイコブス,ジェイコブス,ジェイコブス,family,ミスタービースト,2017,current
229,カール・ジェイコブス,カール,カール,given,ミスタービースト,2017,current
229,カール・ジェイコブス,カール・ジェイコブス,カール・ジェイコブス,full,ミスタービースト,2017,current
230,ガス・ケンワージー,ケンワージー,ケンワージー,family,NA,NA,current
230,ガス・ケンワージー,ガス,ガス,given,NA,NA,current
230,ガス・ケンワージー,ガス・ケンワージー,ガス・ケンワージー,full,NA,NA,current
231,ガーシー,ガーシー,ガーシー,full,NA,NA,current
232,キャリー・ホープ・フレッチャー,フレッチャー,フレッチャー,family,NA,1997,current
232,キャリー・ホープ・フレッチャー,キャリー,キャリー,given,NA,1997,current
232,キャリー・ホープ・フレッチャー,キャリー・ホープ・フレッチャー,キャリー・ホープ・フレッチャー,full,NA,1997,current
233,キャンディス・オーウェンズ,オーウェンズ,オーウェンズ,family,PragerU/ターニングポイントUSA/デイリー・ワイヤー/ブレイズ・メディア,2017,current
233,キャンディス・オーウェンズ,キャンディス,キャンディス,given,PragerU/ターニングポイントUSA/デイリー・ワイヤー/ブレイズ・メディア,2017,current
233,キャンディス・オーウェンズ,キャンディス・オーウェンズ,キャンディス・オーウェンズ,full,PragerU/ターニングポイントUSA/デイリー・ワイヤー/ブレイズ・メディア,2017,current
234,キヨ,キヨ,キヨ,full,最終兵器俺達,2009,current
235,キリン,キリン,キリン,full,NA,NA,current
236,クアデカ,クアデカ,クアデカ,full,NA,2014,current
237,クイーン・ナイジャ,ナイジャ,ナイジャ,family,NA,2013,current
237,クイーン・ナイジャ,クイーン,クイーン,given,NA,2013,current
237,クイーン・ナイジャ,クイーン・ナイジャ,クイーン・ナイジャ,full,NA,2013,current
238,クリスティーナ・グリミー,グリミー,グリミー,family,NA,2009,former
238,クリスティーナ・グリミー,クリスティーナ,クリスティーナ,given,NA,2009,former
238,クリスティーナ・グリミー,クリスティーナ・グリミー,クリスティーナ・グリミー,full,NA,2009,former
239,クリス・エンジェル,エンジェル,エンジェル,family,NA,1994,current
239,クリス・エンジェル,クリス,クリス,given,NA,1994,current
239,クリス・エンジェル,クリス・エンジェル,クリス・エンジェル,full,NA,1994,current
240,クリス・クロッカー,クロッカー,クロッカー,family,NA,2005,current
240,クリス・クロッカー,クリス,クリス,given,NA,2005,current
240,クリス・クロッカー,クリス・クロッカー,クリス・クロッカー,full,NA,2005,current
241,クロノア,クロノア,クロノア,full,日常組,NA,current
242,グエン・ティ・ザン,ザン,ザン,family,NA,NA,current
242,グエン・ティ・ザン,グエン,グエン,given,NA,NA,current
242,グエン・ティ・ザン,グエン・ティ・ザン,グエン・ティ・ザン,full,NA,NA,current
243,ケイシー・ナイスタット,ナイスタット,ナイスタット,family,CNN,2001,current
243,ケイシー・ナイスタット,ケイシー,ケイシー,given,CNN,2001,current
243,ケイシー・ナイスタット,ケイシー・ナイスタット,ケイシー・ナイスタット,full,CNN,2001,current
244,ケイトリン・ヒル,ヒル,ヒル,family,NA,2006,current
244,ケイトリン・ヒル,ケイトリン,ケイトリン,given,NA,2006,current
244,ケイトリン・ヒル,ケイトリン・ヒル,ケイトリン・ヒル,full,NA,2006,current
245,ケイ・ラットシティチャイ,ラットシティチャイ,ラットシティチャイ,family,NA,NA,current
245,ケイ・ラットシティチャイ,ケイ,ケイ,given,NA,NA,current
245,ケイ・ラットシティチャイ,ケイ・ラットシティチャイ,ケイ・ラットシティチャイ,full,NA,NA,current
246,ケン・ブロック,ブロック,ブロック,family,NA,NA,former
246,ケン・ブロック,ケン,ケン,given,NA,NA,former
246,ケン・ブロック,ケン・ブロック,ケン・ブロック,full,NA,NA,former
247,コトリッチ,コトリッチ,コトリッチ,full,NA,NA,current
248,コナン・グレイ,グレイ,グレイ,family,NA,2017,current
248,コナン・グレイ,コナン,コナン,given,NA,2017,current
248,コナン・グレイ,コナン・グレイ,コナン・グレイ,full,NA,2017,current
249,コナー・メイナード,メイナード,メイナード,family,NA,2012,current
249,コナー・メイナード,コナー,コナー,given,NA,2012,current
249,コナー・メイナード,コナー・メイナード,コナー・メイナード,full,NA,2012,current
250,コニー・セレッカ,セレッカ,セレッカ,family,NA,1976,current
250,コニー・セレッカ,コニー,コニー,given,NA,1976,current
250,コニー・セレッカ,コニー・セレッカ,コニー・セレッカ,full,NA,1976,current
251,コリン・ファーズ,ファーズ,ファーズ,family,NA,2006,current
251,コリン・ファーズ,コリン,コリン,given,NA,2006,current
251,コリン・ファーズ,コリン・ファーズ,コリン・ファーズ,full,NA,2006,current
252,コレコレ,コレコレ,コレコレ,full,NA,NA,current
253,ゴーストライダー,ゴーストライダー,ゴーストライダー,full,NA,NA,current
254,サグワ,サグワ,サグワ,full,NA,NA,current
255,サム・チョイ,チョイ,チョイ,family,NA,NA,current
255,サム・チョイ,サム,サム,given,NA,NA,current
255,サム・チョイ,サム・チョイ,サム・チョイ,full,NA,NA,current
256,サラタメ,サラタメ,サラタメ,full,NA,NA,current
257,サル・カーン,カーン,カーン,family,NA,NA,current
257,サル・カーン,サル,サル,given,NA,NA,current
257,サル・カーン,サル・カーン,サル・カーン,full,NA,NA,current
258,サーシャ・ピーターズ,ピーターズ,ピーターズ,family,NA,2002,current
258,サーシャ・ピーターズ,サーシャ,サーシャ,given,NA,2002,current
258,サーシャ・ピーターズ,サーシャ・ピーターズ,サーシャ・ピーターズ,full,NA,2002,current
259,ザック・キング,キング,キング,family,NA,2008,current
259,ザック・キング,ザック,ザック,given,NA,2008,current
259,ザック・キング,ザック・キング,ザック・キング,full,NA,2008,current
260,ザック・ライダー,ライダー,ライダー,family,NA,2004,current
260,ザック・ライダー,ザック,ザック,given,NA,2004,current
260,ザック・ライダー,ザック・ライダー,ザック・ライダー,full,NA,2004,current
