id,original,surface,pronunciation
28,サワアンテキヌス,サワアンテキヌス,サワアンテキヌス
29,ミミジロゴシキドリ,ミミジロゴシキドリ,ミミジロゴシキドリ
30,サンケイ,サンケイ,サンケイ
31,ミナミアフリカオットセイ,ミナミアフリカオットセイ,ミナミアフリカオットセイ
32,オオイタサンショウウオ,オオイタサンショウウオ,オオイタサンショウウオ
33,アカキノボリカンガルー,アカキノボリカンガルー,アカキノボリカンガルー
34,ボッテグジネズミ,ボッテグジネズミ,ボッテグジネズミ
35,ヒメアリクイ,ヒメアリクイ,ヒメアリクイ
36,クロクビタマリン,クロクビタマリン,クロクビタマリン
37,クビワニセムシクイチメドリ,クビワニセムシクイチメドリ,クビワニセムシクイチメドリ
38,ニンバジネズミ,ニンバジネズミ,ニンバジネズミ
39,マミハウチワドリ,マミハウチワドリ,マミハウチワドリ
40,アカクロノスリ,アカクロノスリ,アカクロノスリ
41,ススイロシマリス,ススイロシマリス,ススイロシマリス
42,マケドニアハツカネズミ,マケドニアハツカネズミ,マケドニアハツカネズミ
43,マントヒヒ,マントヒヒ,マントヒヒ
44,コキクガシラコウモリ,コキクガシラコウモリ,コキクガシラコウモリ
45,アペニントガリネズミ,アペニントガリネズミ,アペニントガリネズミ
46,クロガオアオハシキンパラ,クロガオアオハシキンパラ,クロガオアオハシキンパラ
47,ダイアナモンキー,ダイアナモンキー,ダイアナモンキー
48,オオネズミクイ,オオネズミクイ,オオネズミクイ
49,アメリカバク,アメリカバク,アメリカバク
50,シロガシラクロサバクヒタキ,シロガシラクロサバクヒタキ,シロガシラクロサバクヒタキ
51,チャゴシサバクヒタキ,チャゴシサバクヒタキ,チャゴシサバクヒタキ
52,クロボウシヒメウソ,クロボウシヒメウソ,クロボウシヒメウソ
53,マダラハシナガタイランチョウ,マダラハシナガタイランチョウ,マダラハシナガタイランチョウ
54,ボノボ,ボノボ,ボノボ
55,コビトカバ,コビトカバ,コビトカバ
56,バンディクート,バンディクート,バンディクート
57,クロクマタカ,クロクマタカ,クロクマタカ
58,チョコハゲラ,チョコハゲラ,チョコハゲラ
59,セイロンキュウカンチョウ,セイロンキュウカンチョウ,セイロンキュウカンチョウ
60,フタスジヒメウソ,フタスジヒメウソ,フタスジヒメウソ
61,キタセグロシマアリモズ,キタセグロシマアリモズ,キタセグロシマアリモズ
62,カギハシショウビン,カギハシショウビン,カギハシショウビン
63,ハイガシラゲラ,ハイガシラゲラ,ハイガシラゲラ
64,シシバナザル,シシバナザル,シシバナザル
65,ナミマウスオポッサム,ナミマウスオポッサム,ナミマウスオポッサム
66,ニゴイ,ニゴイ,ニゴイ
67,スイリリハエトリ,スイリリハエトリ,スイリリハエトリ
68,チャビタイハシナガタイランチョウ,チャビタイハシナガタイランチョウ,チャビタイハシナガタイランチョウ
69,オオキアシシギ,オオキアシシギ,オオキアシシギ
70,アオサギ,アオサギ,アオサギ
71,シラボシガモ,シラボシガモ,シラボシガモ
72,ニシオオノスリ,ニシオオノスリ,ニシオオノスリ
73,ノウメンスズメ,ノウメンスズメ,ノウメンスズメ
74,スタインクスクス,スタインクスクス,スタインクスクス
75,ムシクイフィンチ,ムシクイフィンチ,ムシクイフィンチ
76,ヤシアマツバメ,ヤシアマツバメ,ヤシアマツバメ
77,カラシラサギ,カラシラサギ,カラシラサギ
78,レユニオンシロハラミズナギドリ,レユニオンシロハラミズナギドリ,レユニオンシロハラミズナギドリ
79,オビオヤマシトド,オビオヤマシトド,オビオヤマシトド
80,オビオオオツリスドリ,オビオオオツリスドリ,オビオオオツリスドリ
81,フジノドテンシハチドリ,フジノドテンシハチドリ,フジノドテンシハチドリ
82,キンバリースミントプシス,キンバリースミントプシス,キンバリースミントプシス
83,キクイタダキ,キクイタダキ,キクイタダキ
84,スローロリス,スローロリス,スローロリス
85,ムジカザリドリ,ムジカザリドリ,ムジカザリドリ
86,アルジェリアゴジュウカラ,アルジェリアゴジュウカラ,アルジェリアゴジュウカラ
87,パナマトゲポケットマウス,パナマトゲポケットマウス,パナマトゲポケットマウス
88,シシオザル,シシオザル,シシオザル
89,アカサンコウチョウ,アカサンコウチョウ,アカサンコウチョウ
90,ジョンストンジェネット,ジョンストンジェネット,ジョンストンジェネット
91,アオバネフウキンチョウ,アオバネフウキンチョウ,アオバネフウキンチョウ
92,フタオビチドリ,フタオビチドリ,フタオビチドリ
93,チャイロアオヒヨ,チャイロアオヒヨ,チャイロアオヒヨ
94,キヌザル,キヌザル,キヌザル
95,ノドジロハチマキミツスイ,ノドジロハチマキミツスイ,ノドジロハチマキミツスイ
96,ミミナシミズネズミ,ミミナシミズネズミ,ミミナシミズネズミ
97,チャイロニワシドリ,チャイロニワシドリ,チャイロニワシドリ
98,オリーブフサボウシハエトリ,オリーブフサボウシハエトリ,オリーブフサボウシハエトリ
99,マダガスカルミヤマムシクイ,マダガスカルミヤマムシクイ,マダガスカルミヤマムシクイ
100,マユジロショウドウツバメ,マユジロショウドウツバメ,マユジロショウドウツバメ
101,ツツドリ,ツツドリ,ツツドリ
102,ティエンシャントガリネズミ,ティエンシャントガリネズミ,ティエンシャントガリネズミ
103,チョウゲンボウ,チョウゲンボウ,チョウゲンボウ
104,キタオブトイワバネズミ,キタオブトイワバネズミ,キタオブトイワバネズミ
105,キンクロカザリドリ,キンクロカザリドリ,キンクロカザリドリ
106,アメリカナキウサギ,アメリカナキウサギ,アメリカナキウサギ
107,ノドジロオマキザル,ノドジロオマキザル,ノドジロオマキザル
108,ミズテンレック,ミズテンレック,ミズテンレック
109,ベニハワイミツスイ,ベニハワイミツスイ,ベニハワイミツスイ
110,ズグロオビロインコ,ズグロオビロインコ,ズグロオビロインコ
111,ミズベトガリネズミ,ミズベトガリネズミ,ミズベトガリネズミ
112,チビタイランチョウ,チビタイランチョウ,チビタイランチョウ
113,ウスヒメドリ,ウスヒメドリ,ウスヒメドリ
114,シロガシラツクシガモ,シロガシラツクシガモ,シロガシラツクシガモ
115,ヒメヤチネズミ,ヒメヤチネズミ,ヒメヤチネズミ
116,チャイロキンバト,チャイロキンバト,チャイロキンバト
117,フタスジアメリカムシクイ,フタスジアメリカムシクイ,フタスジアメリカムシクイ
118,ハイズキンフウキンチョウ,ハイズキンフウキンチョウ,ハイズキンフウキンチョウ
119,ナンベイレンカク,ナンベイレンカク,ナンベイレンカク
120,タケネズミ,タケネズミ,タケネズミ
121,ヒメオマキマウス,ヒメオマキマウス,ヒメオマキマウス
122,マスコットコトンラット,マスコットコトンラット,マスコットコトンラット
123,ヒロバアカネズミ,ヒロバアカネズミ,ヒロバアカネズミ
124,スティーブンズウッドラット,スティーブンズウッドラット,スティーブンズウッドラット
125,ヌマガレイ,ヌマガレイ,ヌマガレイ
126,アホロートル,アホロートル,アホロートル
127,オオカワウソ,オオカワウソ,オオカワウソ
128,アオボウシフウキンチョウ,アオボウシフウキンチョウ,アオボウシフウキンチョウ
129,シマゴマ,シマゴマ,シマゴマ
130,オナガバト,オナガバト,オナガバト
131,ススイロホップマウス,ススイロホップマウス,ススイロホップマウス
132,コガネメキシコインコ,コガネメキシコインコ,コガネメキシコインコ
133,アオバコバシガン,アオバコバシガン,アオバコバシガン
134,アカカンガルー,アカカンガルー,アカカンガルー
135,ズアカサザイ,ズアカサザイ,ズアカサザイ
136,ズグロオオコノハズク,ズグロオオコノハズク,ズグロオオコノハズク
137,ヒグマ,ヒグマ,ヒグマ
138,バラエリキヌバネドリ,バラエリキヌバネドリ,バラエリキヌバネドリ
139,オナガキンセイチョウ,オナガキンセイチョウ,オナガキンセイチョウ
140,ザンビアジネズミ,ザンビアジネズミ,ザンビアジネズミ
141,オオサイチョウ,オオサイチョウ,オオサイチョウ
142,セグロヤブモズ,セグロヤブモズ,セグロヤブモズ
143,フランソワリーフモンキー,フランソワリーフモンキー,フランソワリーフモンキー
144,アメリカオグロシギ,アメリカオグロシギ,アメリカオグロシギ
145,ススイロカトリタイランチョウ,ススイロカトリタイランチョウ,ススイロカトリタイランチョウ
146,ミナミアサギアメリカムシクイ,ミナミアサギアメリカムシクイ,ミナミアサギアメリカムシクイ
147,ハシナガタイランチョウ,ハシナガタイランチョウ,ハシナガタイランチョウ
148,ボウズハゼ,ボウズハゼ,ボウズハゼ
149,コシジロウズラシギ,コシジロウズラシギ,コシジロウズラシギ
150,ヤブスズメモドキ,ヤブスズメモドキ,ヤブスズメモドキ
151,マミジロマルハシ,マミジロマルハシ,マミジロマルハシ
152,コムナボシキミミミツスイ,コムナボシキミミミツスイ,コムナボシキミミミツスイ
153,コビトマイコドリ,コビトマイコドリ,コビトマイコドリ
154,アカガシラシトド,アカガシラシトド,アカガシラシトド
155,ダイサギ,ダイサギ,ダイサギ
156,ウスグロアオヒヨ,ウスグロアオヒヨ,ウスグロアオヒヨ
157,コバシムシクイ,コバシムシクイ,コバシムシクイ
158,コガラパゴスフィンチ,コガラパゴスフィンチ,コガラパゴスフィンチ
159,ズグロムシクイカマドドリ,ズグロムシクイカマドドリ,ズグロムシクイカマドドリ
160,コバシカンムリヒバリ,コバシカンムリヒバリ,コバシカンムリヒバリ
161,ドードー,ドードー,ドードー
162,オオハダカオネズミ,オオハダカオネズミ,オオハダカオネズミ
163,チビオオニネズミ,チビオオニネズミ,チビオオニネズミ
164,アフリカサンコウチョウ,アフリカサンコウチョウ,アフリカサンコウチョウ
165,シマキンパラ,シマキンパラ,シマキンパラ
166,アカガタテリムク,アカガタテリムク,アカガタテリムク
167,ズグロツバメ,ズグロツバメ,ズグロツバメ
168,オポッサム,オポッサム,オポッサム
169,ツノハシフウチョウモドキ,ツノハシフウチョウモドキ,ツノハシフウチョウモドキ
170,ハタネズミ,ハタネズミ,ハタネズミ
171,コバシハワイミツスイ,コバシハワイミツスイ,コバシハワイミツスイ
172,マヨットオウチュウ,マヨットオウチュウ,マヨットオウチュウ
173,ニシオオヨシキリ,ニシオオヨシキリ,ニシオオヨシキリ
174,ベネズエラグイラトゲネズミ,ベネズエラグイラトゲネズミ,ベネズエラグイラトゲネズミ
175,マルハシツグミモドキ,マルハシツグミモドキ,マルハシツグミモドキ
176,カオグロミドリカザリドリ,カオグロミドリカザリドリ,カオグロミドリカザリドリ
177,ミツスイ,ミツスイ,ミツスイ
178,セミドリモズヒタキ,セミドリモズヒタキ,セミドリモズヒタキ
179,アメリカ,アメリカ,アメリカ
180,カゲロウチョウ,カゲロウチョウ,カゲロウチョウ
181,ノドアカアメリカムシクイ,ノドアカアメリカムシクイ,ノドアカアメリカムシクイ
182,サボテンフクロウ,サボテンフクロウ,サボテンフクロウ
183,アカオオナガアリドリ,アカオオナガアリドリ,アカオオナガアリドリ
184,キンギョ,キンギョ,キンギョ
185,ヒツジ,ヒツジ,ヒツジ
186,チャボウシウタイモズモドキ,チャボウシウタイモズモドキ,チャボウシウタイモズモドキ
187,シリアカスミレフウキンチョウ,シリアカスミレフウキンチョウ,シリアカスミレフウキンチョウ
188,クロアカミツスイ,クロアカミツスイ,クロアカミツスイ
189,ハクジラ,ハクジラ,ハクジラ
190,マツシロアシマウス,マツシロアシマウス,マツシロアシマウス
191,カザンマウス,カザンマウス,カザンマウス
192,ヒメミフウズラ,ヒメミフウズラ,ヒメミフウズラ
193,ラケットカワセミ,ラケットカワセミ,ラケットカワセミ
194,ヨーロッパオオライチョウ,ヨーロッパオオライチョウ,ヨーロッパオオライチョウ
195,アカクロカザリドリ,アカクロカザリドリ,アカクロカザリドリ
196,シタツンガ,シタツンガ,シタツンガ
197,オオワシ,オオワシ,オオワシ
198,キバラチビオムシクイ,キバラチビオムシクイ,キバラチビオムシクイ
199,コガモ,コガモ,コガモ
200,ニシクロシコンチョウ,ニシクロシコンチョウ,ニシクロシコンチョウ
201,アフリカヒロハシ,アフリカヒロハシ,アフリカヒロハシ
202,ヨーロッパヤマネコ,ヨーロッパヤマネコ,ヨーロッパヤマネコ
203,ロバートアシナガマウス,ロバートアシナガマウス,ロバートアシナガマウス
204,コシラギクタイランチョウ,コシラギクタイランチョウ,コシラギクタイランチョウ
205,イセゴイ(ハイレン),イセゴイ(ハイレン),イセゴイ(ハイレン)
206,クイ,クイ,クイ
207,コシアカセッカ,コシアカセッカ,コシアカセッカ
208,アゴジロゴシキドリ,アゴジロゴシキドリ,アゴジロゴシキドリ
209,タイガーシベット,タイガーシベット,タイガーシベット
210,プリンシペテリムク,プリンシペテリムク,プリンシペテリムク
211,マユナシオタテドリ,マユナシオタテドリ,マユナシオタテドリ
212,アゴグロヒメドリ,アゴグロヒメドリ,アゴグロヒメドリ
213,ヒラメ,ヒラメ,ヒラメ
214,ヤマカガシ,ヤマカガシ,ヤマカガシ
215,ユキドリ,ユキドリ,ユキドリ
216,フィリピンウグイス,フィリピンウグイス,フィリピンウグイス
217,アカエリシトド,アカエリシトド,アカエリシトド
218,ムネアカハナドリ,ムネアカハナドリ,ムネアカハナドリ
219,オナガカワカマドドリ,オナガカワカマドドリ,オナガカワカマドドリ
220,ミヤマヒメドリ,ミヤマヒメドリ,ミヤマヒメドリ
221,ウシハタオリ,ウシハタオリ,ウシハタオリ
222,ミドリキヌバネドリ,ミドリキヌバネドリ,ミドリキヌバネドリ
223,キタキバシヒトリツグミ,キタキバシヒトリツグミ,キタキバシヒトリツグミ
224,シロオビミドリツバメ,シロオビミドリツバメ,シロオビミドリツバメ
225,レイサンヨシキリ,レイサンヨシキリ,レイサンヨシキリ
226,タイヘイヨウトガリネズミ,タイヘイヨウトガリネズミ,タイヘイヨウトガリネズミ
227,チリーシギダチョウ,チリーシギダチョウ,チリーシギダチョウ
228,クロカンムリヒタキ,クロカンムリヒタキ,クロカンムリヒタキ
229,コシジロイソヒヨドリ,コシジロイソヒヨドリ,コシジロイソヒヨドリ
230,スミレオミカドバト,スミレオミカドバト,スミレオミカドバト
231,ヤマパカ,ヤマパカ,ヤマパカ
232,ミヤマツグミヒタキ,ミヤマツグミヒタキ,ミヤマツグミヒタキ
233,イワトビムシクイ,イワトビムシクイ,イワトビムシクイ
234,サビイロヒタキ,サビイロヒタキ,サビイロヒタキ
235,サファイヤヒタキ,サファイヤヒタキ,サファイヤヒタキ
236,クチニセマウス,クチニセマウス,クチニセマウス
237,ネズミガシラハネナガインコ,ネズミガシラハネナガインコ,ネズミガシラハネナガインコ
238,アカガシラチメドリ,アカガシラチメドリ,アカガシラチメドリ
239,サカツラウ,サカツラウ,サカツラウ
240,ボリビアツコツコ,ボリビアツコツコ,ボリビアツコツコ
241,ヨーロッパアマツバメ,ヨーロッパアマツバメ,ヨーロッパアマツバメ
242,ブラインドケーブフィッシュ,ブラインドケーブフィッシュ,ブラインドケーブフィッシュ
243,カンムリセイラン,カンムリセイラン,カンムリセイラン
244,オオイッコウチョウ,オオイッコウチョウ,オオイッコウチョウ
245,キボシクイナ,キボシクイナ,キボシクイナ
246,ムラサキミツドリ,ムラサキミツドリ,ムラサキミツドリ
247,ゼニタナゴ,ゼニタナゴ,ゼニタナゴ
248,サビイロムジチメドリ,サビイロムジチメドリ,サビイロムジチメドリ
249,ルウェンゾリタイヨウリス,ルウェンゾリタイヨウリス,ルウェンゾリタイヨウリス
250,アメリカシマクイナ,アメリカシマクイナ,アメリカシマクイナ
251,セイシェルアナツバメ,セイシェルアナツバメ,セイシェルアナツバメ
252,ムジヒトリツグミ,ムジヒトリツグミ,ムジヒトリツグミ
253,コジカホップマウス,コジカホップマウス,コジカホップマウス
254,クロカマハシフウチョウ,クロカマハシフウチョウ,クロカマハシフウチョウ
255,ミナミヤイロチョウ,ミナミヤイロチョウ,ミナミヤイロチョウ
256,サラワクスンダリス,サラワクスンダリス,サラワクスンダリス
257,キムネハシビロヒタキ,キムネハシビロヒタキ,キムネハシビロヒタキ
258,アオコンゴウインコ,アオコンゴウインコ,アオコンゴウインコ
259,オオコミミトガリネズミ,オオコミミトガリネズミ,オオコミミトガリネズミ
260,アオミミハチドリ,アオミミハチドリ,アオミミハチドリ
261,ウロコミツオシエ,ウロコミツオシエ,ウロコミツオシエ
262,アンゴラシャコ,アンゴラシャコ,アンゴラシャコ
263,ルソンオオコノハズク,ルソンオオコノハズク,ルソンオオコノハズク
264,ホシサボテンミソサザイ,ホシサボテンミソサザイ,ホシサボテンミソサザイ
265,アフリカシタナガフルーツコウモリ,アフリカシタナガフルーツコウモリ,アフリカシタナガフルーツコウモリ
266,ヤブオウギビタキ,ヤブオウギビタキ,ヤブオウギビタキ
267,ムナグロオーストラリアムシクイ,ムナグロオーストラリアムシクイ,ムナグロオーストラリアムシクイ
268,ヒメイワタイランチョウ,ヒメイワタイランチョウ,ヒメイワタイランチョウ
269,オリーブキンパラ,オリーブキンパラ,オリーブキンパラ
270,メンガタカササギビタキ,メンガタカササギビタキ,メンガタカササギビタキ
271,ハイイロアリモズ,ハイイロアリモズ,ハイイロアリモズ
272,ツバメチドリ,ツバメチドリ,ツバメチドリ
273,チチブコウモリ,チチブコウモリ,チチブコウモリ
274,カンムリウミスズメ,カンムリウミスズメ,カンムリウミスズメ
275,ヒマラヤハゲワシ,ヒマラヤハゲワシ,ヒマラヤハゲワシ
276,キマユカマドドリ,キマユカマドドリ,キマユカマドドリ
277,ホースフィールドフルーツコウモリ,ホースフィールドフルーツコウモリ,ホースフィールドフルーツコウモリ
278,シロガシラアジサシ,シロガシラアジサシ,シロガシラアジサシ
279,ハシブトガラ,ハシブトガラ,ハシブトガラ
280,ケムリニセマウス,ケムリニセマウス,ケムリニセマウス
281,ハシジロチュウハシ,ハシジロチュウハシ,ハシジロチュウハシ
282,シラボシカササギビタキ,シラボシカササギビタキ,シラボシカササギビタキ
283,ハイイロアリモズモドキ,ハイイロアリモズモドキ,ハイイロアリモズモドキ
284,カンタベリーガラクシアス,カンタベリーガラクシアス,カンタベリーガラクシアス
285,フィリピンコゲラ,フィリピンコゲラ,フィリピンコゲラ
286,アメリカコアジサシ,アメリカコアジサシ,アメリカコアジサシ
287,ハッカン,ハッカン,ハッカン
288,キミドリコウライウグイス,キミドリコウライウグイス,キミドリコウライウグイス
289,ヒースキノボリヤチネズミ,ヒースキノボリヤチネズミ,ヒースキノボリヤチネズミ
290,コシアカフウキンチョウ,コシアカフウキンチョウ,コシアカフウキンチョウ
291,コハナインコ,コハナインコ,コハナインコ
292,ヨーロッパハタリス,ヨーロッパハタリス,ヨーロッパハタリス
293,コユビシトドコヒバリ,コユビシトドコヒバリ,コユビシトドコヒバリ
294,ガラパゴスコメネズミ,ガラパゴスコメネズミ,ガラパゴスコメネズミ
295,ミドリオヒゲヒヨドリ,ミドリオヒゲヒヨドリ,ミドリオヒゲヒヨドリ
296,フサオウッドラット,フサオウッドラット,フサオウッドラット
297,ヨロイトゲネズミ,ヨロイトゲネズミ,ヨロイトゲネズミ
298,シロノドメジロハエトリ,シロノドメジロハエトリ,シロノドメジロハエトリ
299,ライオン,ライオン,ライオン
300,ウグイスアメリカムシクイ,ウグイスアメリカムシクイ,ウグイスアメリカムシクイ
301,ムナグロチュウヒワシ,ムナグロチュウヒワシ,ムナグロチュウヒワシ
302,クロアゴカンムリチメドリ,クロアゴカンムリチメドリ,クロアゴカンムリチメドリ
303,ハリモミライチョウ,ハリモミライチョウ,ハリモミライチョウ
304,エチオピアビナンスズメ,エチオピアビナンスズメ,エチオピアビナンスズメ
305,ワタシロアシマウス,ワタシロアシマウス,ワタシロアシマウス
306,ズアカガケツバメ,ズアカガケツバメ,ズアカガケツバメ
307,ヒャン,ヒャン,ヒャン
308,コバシヌマミソサザイ,コバシヌマミソサザイ,コバシヌマミソサザイ
309,ウガンダキンモグラ,ウガンダキンモグラ,ウガンダキンモグラ
310,アメリカヤマセミ,アメリカヤマセミ,アメリカヤマセミ
311,ハイイロオオサンショウクイ,ハイイロオオサンショウクイ,ハイイロオオサンショウクイ
312,ナキサイチョウ,ナキサイチョウ,ナキサイチョウ
313,トリスタンシマツグミ,トリスタンシマツグミ,トリスタンシマツグミ
314,チョウセンゴジュウカラ,チョウセンゴジュウカラ,チョウセンゴジュウカラ
315,シロボシアリモズ,シロボシアリモズ,シロボシアリモズ
316,ルリヨシノボリ,ルリヨシノボリ,ルリヨシノボリ
317,ラングール,ラングール,ラングール
318,ハレギトゲポケットマウス,ハレギトゲポケットマウス,ハレギトゲポケットマウス
319,アカギツネ,アカギツネ,アカギツネ
320,タラザックオナガテンレック,タラザックオナガテンレック,タラザックオナガテンレック
321,ズグロコウライウグイス,ズグロコウライウグイス,ズグロコウライウグイス
322,オリーブハシナガムシクイ,オリーブハシナガムシクイ,オリーブハシナガムシクイ
323,アカハラマユシトド,アカハラマユシトド,アカハラマユシトド
324,ニューヘブリデスオオコウモリ,ニューヘブリデスオオコウモリ,ニューヘブリデスオオコウモリ
325,サンショクツバメ,サンショクツバメ,サンショクツバメ
326,キタリス,キタリス,キタリス
327,ハイバラオナガカマドドリ,ハイバラオナガカマドドリ,ハイバラオナガカマドドリ
328,セマルハコガメ,セマルハコガメ,セマルハコガメ
329,シナロアムラサキツバメ,シナロアムラサキツバメ,シナロアムラサキツバメ
330,ヒガシキバシコサイチョウ,ヒガシキバシコサイチョウ,ヒガシキバシコサイチョウ
331,アカハシオニキバシリ,アカハシオニキバシリ,アカハシオニキバシリ
332,アカガオアメリカムシクイ,アカガオアメリカムシクイ,アカガオアメリカムシクイ
333,シロエリヒメウソ,シロエリヒメウソ,シロエリヒメウソ
334,クラークハタネズミ,クラークハタネズミ,クラークハタネズミ
335,シロアゴヨタカ,シロアゴヨタカ,シロアゴヨタカ
336,メグロシロハラミズナギドリ,メグロシロハラミズナギドリ,メグロシロハラミズナギドリ
337,ローレンスフルーツコウモリ,ローレンスフルーツコウモリ,ローレンスフルーツコウモリ
338,チャイロムジチメドリ,チャイロムジチメドリ,チャイロムジチメドリ
339,カシミールオジロビタキ,カシミールオジロビタキ,カシミールオジロビタキ
340,アカマシコ,アカマシコ,アカマシコ
341,アカノドハチクイ,アカノドハチクイ,アカノドハチクイ
342,オナガプラニガーレ,オナガプラニガーレ,オナガプラニガーレ
343,オグロカモメ,オグロカモメ,オグロカモメ
344,ワタリアホウドリ,ワタリアホウドリ,ワタリアホウドリ
345,ハイイロゲラ,ハイイロゲラ,ハイイロゲラ
346,ヤマアカガエル,ヤマアカガエル,ヤマアカガエル
347,ミンドロコノハズク,ミンドロコノハズク,ミンドロコノハズク
348,コバシオタテガモ,コバシオタテガモ,コバシオタテガモ
349,エボシクマゲラ,エボシクマゲラ,エボシクマゲラ
350,マダガスカルヒメショウビン,マダガスカルヒメショウビン,マダガスカルヒメショウビン
351,ピグミーツパイ,ピグミーツパイ,ピグミーツパイ
352,コシミノチメドリ,コシミノチメドリ,コシミノチメドリ
353,オヒキコウモリ,オヒキコウモリ,オヒキコウモリ
354,ブラジルリス,ブラジルリス,ブラジルリス
355,シロエリハチドリ,シロエリハチドリ,シロエリハチドリ
356,ルリオオサンショウクイ,ルリオオサンショウクイ,ルリオオサンショウクイ
357,チャユミハシオニキバシリ,チャユミハシオニキバシリ,チャユミハシオニキバシリ
358,キヌゲネズミ亜,キヌゲネズミ亜,キヌゲネズミ亜
359,アフリカアカオノスリ,アフリカアカオノスリ,アフリカアカオノスリ
360,ミナミオビチュウヒワシ,ミナミオビチュウヒワシ,ミナミオビチュウヒワシ
361,ソウゲンハヤブサ,ソウゲンハヤブサ,ソウゲンハヤブサ
362,コヨーテ,コヨーテ,コヨーテ
363,ゴシキヒワ,ゴシキヒワ,ゴシキヒワ
364,ニュージーランドミヤコドリ,ニュージーランドミヤコドリ,ニュージーランドミヤコドリ
365,オビナシショウドウツバメ,オビナシショウドウツバメ,オビナシショウドウツバメ
366,キガシラカナリア,キガシラカナリア,キガシラカナリア
367,マウス,マウス,マウス
368,オナガギアラトゲネズミ,オナガギアラトゲネズミ,オナガギアラトゲネズミ
369,ナキカラスフウチョウ,ナキカラスフウチョウ,ナキカラスフウチョウ
370,コモンシギ,コモンシギ,コモンシギ
371,コクロアカウソ,コクロアカウソ,コクロアカウソ
372,マザマホリネズミ,マザマホリネズミ,マザマホリネズミ
373,オブトアレチネズミ,オブトアレチネズミ,オブトアレチネズミ
374,ハシブトムジチメドリ,ハシブトムジチメドリ,ハシブトムジチメドリ
375,アオバト,アオバト,アオバト
376,ムナジロウ,ムナジロウ,ムナジロウ
377,シマスカンク,シマスカンク,シマスカンク
378,クロアカヒタキ,クロアカヒタキ,クロアカヒタキ
379,ルリハコバシチメドリ,ルリハコバシチメドリ,ルリハコバシチメドリ
380,チョウショウバト,チョウショウバト,チョウショウバト
381,カンムリホウカンチョウ,カンムリホウカンチョウ,カンムリホウカンチョウ
382,シラガタケネズミ,シラガタケネズミ,シラガタケネズミ
383,コミミアレチネズミ,コミミアレチネズミ,コミミアレチネズミ
384,オグロアサギリチョウ,オグロアサギリチョウ,オグロアサギリチョウ
385,ヒロハネズミ,ヒロハネズミ,ヒロハネズミ
386,フィリピンキメジロ,フィリピンキメジロ,フィリピンキメジロ
387,ニュウナイスズメ,ニュウナイスズメ,ニュウナイスズメ
388,チャータムウ,チャータムウ,チャータムウ
389,サボテンカマドドリ,サボテンカマドドリ,サボテンカマドドリ
390,ミッデンドルフハタネズミ,ミッデンドルフハタネズミ,ミッデンドルフハタネズミ
391,ナマカデバネズミ,ナマカデバネズミ,ナマカデバネズミ
392,オオベニバト,オオベニバト,オオベニバト
393,タイワンリス,タイワンリス,タイワンリス
394,シロボウシクロキンパラ,シロボウシクロキンパラ,シロボウシクロキンパラ
395,ナミプラニガーレ,ナミプラニガーレ,ナミプラニガーレ
396,ミミセンザンコウ,ミミセンザンコウ,ミミセンザンコウ
397,セントルシアアメリカムシクイ,セントルシアアメリカムシクイ,セントルシアアメリカムシクイ
